"","id","sample.size","ncase","ncontrol","sex","category","subcategory","unit","group_name","build","consortium","year","population","trait","note","pmid","filename","nsnp","delimiter","header","mr","chr_col","pos_col","oa_col","ea_col","snp_col","pval_col","beta_col","se_col","eaf_col"
"12","finn-b-AB1_CMV",213936,270,213666,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Cytomegaloviral disease","AB1_CMV",NA,"finngen_R5_AB1_CMV.gz",16380457,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"13","finn-b-AB1_DERMATOPHYTOSIS",216472,1656,214816,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Dermatophytosis","AB1_DERMATOPHYTOSIS",NA,"finngen_R5_AB1_DERMATOPHYTOSIS.gz",16380462,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"14","finn-b-AB1_EARLY_SYPHILIS",213117,165,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Early syphilis","AB1_EARLY_SYPHILIS",NA,"finngen_R5_AB1_EARLY_SYPHILIS.gz",16380455,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"15","finn-b-AB1_EBV",214904,1238,213666,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Infectious mononucleosis","AB1_EBV",NA,"finngen_R5_AB1_EBV.gz",16380461,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"16","finn-b-AB1_ERYSIPELAS",207679,10019,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Erysipelas","AB1_ERYSIPELAS",NA,"finngen_R5_AB1_ERYSIPELAS.gz",16380453,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"17","finn-b-AB1_GASTROENTERITIS_NOS",212553,15255,197298,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Diarrhoea and gastroenteritis of presumed infectious origin","AB1_GASTROENTERITIS_NOS",NA,"finngen_R5_AB1_GASTROENTERITIS_NOS.gz",16380447,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"18","finn-b-AB1_GHLAMY_OTHER",218772,167,218605,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other diseases caused by chlamydiae (AB1_GHLAMY_OTHER)","AB1_GHLAMY_OTHER",NA,"finngen_R5_AB1_GHLAMY_OTHER.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"19","finn-b-AB1_GONOCOCCAL",213432,480,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Gonococcal infection","AB1_GONOCOCCAL",NA,"finngen_R5_AB1_GONOCOCCAL.gz",16380456,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"20","finn-b-AB1_HELMINTIASES",218792,232,218560,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Helminthiases","AB1_HELMINTIASES",NA,"finngen_R5_AB1_HELMINTIASES.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"21","finn-b-AB1_HEPATITIS_OTHER_VIRAL",218573,1007,217566,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other  viral hepatitis","AB1_HEPATITIS_OTHER_VIRAL",NA,"finngen_R5_AB1_HEPATITIS_OTHER_VIRAL.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"22","finn-b-AB1_HERPES_SIMPLEX",213451,1595,211856,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Herpesviral [herpes simplex] infections","AB1_HERPES_SIMPLEX",NA,"finngen_R5_AB1_HERPES_SIMPLEX.gz",16380457,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"23","finn-b-AB1_HIV",218792,357,218435,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Human immunodeficiency virus [HIV] disease","AB1_HIV",NA,"finngen_R5_AB1_HIV.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"24","finn-b-AB1_HIV_NOS",218592,157,218435,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Unspecified human immunodeficiency virus [HIV] disease","AB1_HIV_NOS",NA,"finngen_R5_AB1_HIV_NOS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"25","finn-b-AB1_INFECTIONS",218792,57998,160794,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Certain infectious and parasitic diseases","AB1_INFECTIONS",NA,"finngen_R5_AB1_INFECTIONS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"26","finn-b-AB1_INTESTINAL_INFECTIONS",218792,21494,197298,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Intestinal infectious diseases","AB1_INTESTINAL_INFECTIONS",NA,"finngen_R5_AB1_INTESTINAL_INFECTIONS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"27","finn-b-AB1_LATE_SYPHILIS",213125,173,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Late syphilis","AB1_LATE_SYPHILIS",NA,"finngen_R5_AB1_LATE_SYPHILIS.gz",16380457,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"28","finn-b-AB1_MALARIA",218547,81,218466,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Malaria","AB1_MALARIA",NA,"finngen_R5_AB1_MALARIA.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"29","finn-b-AB1_MEASLES",212036,180,211856,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Measles","AB1_MEASLES",NA,"finngen_R5_AB1_MEASLES.gz",16380433,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"30","finn-b-AB1_MENINGOCOCCAL",197788,128,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Meningococcal infection","AB1_MENINGOCOCCAL",NA,"finngen_R5_AB1_MENINGOCOCCAL.gz",16380400,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"31","finn-b-AB1_MUMPS",214102,436,213666,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Mumps","AB1_MUMPS",NA,"finngen_R5_AB1_MUMPS.gz",16380458,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"32","finn-b-AB1_MYCOSES",218792,3976,214816,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Mycoses","AB1_MYCOSES",NA,"finngen_R5_AB1_MYCOSES.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"33","finn-b-AB1_OTHER_BACTERIAL",218792,21132,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other bacterial diseases","AB1_OTHER_BACTERIAL",NA,"finngen_R5_AB1_OTHER_BACTERIAL.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"34","finn-b-AB1_OTHER_BACT_INOTHER",217499,134,217365,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other bacterial agents as the cause of diseases classified to other chapters","AB1_OTHER_BACT_INOTHER",NA,"finngen_R5_AB1_OTHER_BACT_INOTHER.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"35","finn-b-AB1_OTHER_CHLAMYDIAE",218792,187,218605,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other diseases caused by chlamydiae (AB1_OTHER_CHLAMYDIAE)","AB1_OTHER_CHLAMYDIAE",NA,"finngen_R5_AB1_OTHER_CHLAMYDIAE.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"36","finn-b-AB1_OTHER_CONDITIONS",218768,333,218435,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Human immunodeficiency virus [HIV] disease resulting in other conditions","AB1_OTHER_CONDITIONS",NA,"finngen_R5_AB1_OTHER_CONDITIONS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"37","finn-b-AB1_OTHER_INFECTIONS",218792,1213,217579,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other infectious diseases","AB1_OTHER_INFECTIONS",NA,"finngen_R5_AB1_OTHER_INFECTIONS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"38","finn-b-AB1_OTHER_MYCOBAC",197848,188,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Infection due to other mycobacteria","AB1_OTHER_MYCOBAC",NA,"finngen_R5_AB1_OTHER_MYCOBAC.gz",16380401,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"39","finn-b-AB1_OTHER_PROTOZOAL",197443,145,197298,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other protozoal intestinal diseases","AB1_OTHER_PROTOZOAL",NA,"finngen_R5_AB1_OTHER_PROTOZOAL.gz",16380388,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"40","finn-b-AB1_OTHER_SEPSIS",203033,5373,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other septicaemia","AB1_OTHER_SEPSIS",NA,"finngen_R5_AB1_OTHER_SEPSIS.gz",16380409,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"41","finn-b-AB1_OTHER_SPIROCHAETAL",218792,1182,217610,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other spirochaetal diseases","AB1_OTHER_SPIROCHAETAL",NA,"finngen_R5_AB1_OTHER_SPIROCHAETAL.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"42","finn-b-AB1_OTHER_SUPERF_MYCOSIS",215040,224,214816,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other superficial mycoses","AB1_OTHER_SUPERF_MYCOSIS",NA,"finngen_R5_AB1_OTHER_SUPERF_MYCOSIS.gz",16380463,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"43","finn-b-AB1_OTHER_VIRAL",218792,5126,213666,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other viral diseases","AB1_OTHER_VIRAL",NA,"finngen_R5_AB1_OTHER_VIRAL.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"44","finn-b-AB1_PARASITIC_NOS",218110,123,217987,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Unspecified parasitic disease","AB1_PARASITIC_NOS",NA,"finngen_R5_AB1_PARASITIC_NOS.gz",16380464,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"45","finn-b-AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST",218792,805,217987,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Pediculosis, acariasis and other infestations","AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST",NA,"finngen_R5_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"46","finn-b-AB1_PNEUMOCYSTOSIS",218606,140,218466,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Pneumocystosis","AB1_PNEUMOCYSTOSIS",NA,"finngen_R5_AB1_PNEUMOCYSTOSIS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"47","finn-b-AB1_POLIOMYELITIS",217867,230,217637,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Acute poliomyelitis","AB1_POLIOMYELITIS",NA,"finngen_R5_AB1_POLIOMYELITIS.gz",16380460,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"48","finn-b-AB1_PROTOZOAL",218792,326,218466,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Protozoal diseases","AB1_PROTOZOAL",NA,"finngen_R5_AB1_PROTOZOAL.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"49","finn-b-AB1_RESP_TUBERCU",218448,849,217599,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Respiratry tuberculosis","AB1_RESP_TUBERCU",NA,"finngen_R5_AB1_RESP_TUBERCU.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"50","finn-b-AB1_RESP_TUBERCU_CONF",217846,247,217599,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Respiratory tuberculosis, bacteriologically and histologically confirmed","AB1_RESP_TUBERCU_CONF",NA,"finngen_R5_AB1_RESP_TUBERCU_CONF.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"51","finn-b-AB1_RESP_TUBERCU_NONCONF",218236,637,217599,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Respiratory tuberculosis, not confirmed bacteriologically or histologically","AB1_RESP_TUBERCU_NONCONF",NA,"finngen_R5_AB1_RESP_TUBERCU_NONCONF.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"52","finn-b-AB1_RUBELLA",212409,553,211856,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Rubella [German measles]","AB1_RUBELLA",NA,"finngen_R5_AB1_RUBELLA.gz",16380432,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"53","finn-b-AB1_SALMONELLA_OTH",197895,597,197298,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other salmonella infections","AB1_SALMONELLA_OTH",NA,"finngen_R5_AB1_SALMONELLA_OTH.gz",16380388,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"54","finn-b-AB1_SCABIES",218562,575,217987,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Scabies","AB1_SCABIES",NA,"finngen_R5_AB1_SCABIES.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"55","finn-b-AB1_SCARLET_FEVER",197761,101,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Scarlet fever","AB1_SCARLET_FEVER",NA,"finngen_R5_AB1_SCARLET_FEVER.gz",16380400,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"56","finn-b-AB1_SCHISTOSOMIASIS",218792,221,218571,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Schistosomiasis [bilharziasis]","AB1_SCHISTOSOMIASIS",NA,"finngen_R5_AB1_SCHISTOSOMIASIS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"57","finn-b-AB1_SEPSIS",203824,6164,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Septicaemia","AB1_SEPSIS",NA,"finngen_R5_AB1_SEPSIS.gz",16380410,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"58","finn-b-AB1_SEQULAE_INF_NOS",218425,936,217489,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Sequelae of other and unspecified infectious and parasitic diseases","AB1_SEQULAE_INF_NOS",NA,"finngen_R5_AB1_SEQULAE_INF_NOS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"59","finn-b-AB1_SEQULAE_POLIO",217603,114,217489,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Sequelae of poliomyelitis","AB1_SEQULAE_POLIO",NA,"finngen_R5_AB1_SEQULAE_POLIO.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"60","finn-b-AB1_SEQULAE_TUBERCU",217744,255,217489,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Sequelae of tuberculosis","AB1_SEQULAE_TUBERCU",NA,"finngen_R5_AB1_SEQULAE_TUBERCU.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"61","finn-b-AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES",218792,1303,217489,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Sequelae of infectious and parasitic diseases","AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES",NA,"finngen_R5_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"62","finn-b-AB1_SEXUAL_TRANSMISSION",218792,5840,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Infections with a predominantly sexual mode of transmission","AB1_SEXUAL_TRANSMISSION",NA,"finngen_R5_AB1_SEXUAL_TRANSMISSION.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"63","finn-b-AB1_SEXUAL_TRANSMISSION_NOS",216066,3114,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other predominantly sexually transmitted diseases, not elsewhere classified","AB1_SEXUAL_TRANSMISSION_NOS",NA,"finngen_R5_AB1_SEXUAL_TRANSMISSION_NOS.gz",16380460,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"64","finn-b-AB1_SPIROCHE_OTHER",218742,1132,217610,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Spirochaetal infections, other/unspecified","AB1_SPIROCHE_OTHER",NA,"finngen_R5_AB1_SPIROCHE_OTHER.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"65","finn-b-AB1_STREPTO_SEPSIS",198750,1090,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Streptococcal septicaemia","AB1_STREPTO_SEPSIS",NA,"finngen_R5_AB1_STREPTO_SEPSIS.gz",16380403,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"66","finn-b-AB1_STREPTSTAPHYCOCC_INOTHER",217459,94,217365,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Streptococcus and staphylococcus as the cause of diseases classified to other chapters","AB1_STREPTSTAPHYCOCC_INOTHER",NA,"finngen_R5_AB1_STREPTSTAPHYCOCC_INOTHER.gz",16380461,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"67","finn-b-AB1_SYPHILIS",213302,350,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Syphilis","AB1_SYPHILIS",NA,"finngen_R5_AB1_SYPHILIS.gz",16380457,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"68","finn-b-AB1_TOXOPLASMOSIS",218562,96,218466,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Toxoplasmosis","AB1_TOXOPLASMOSIS",NA,"finngen_R5_AB1_TOXOPLASMOSIS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"69","finn-b-AB1_TRICHOMONIASIS",213085,133,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Trichomoniasis","AB1_TRICHOMONIASIS",NA,"finngen_R5_AB1_TRICHOMONIASIS.gz",16380456,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"70","finn-b-AB1_TUBERCULOSIS",218792,1193,217599,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Tuberculosis","AB1_TUBERCULOSIS",NA,"finngen_R5_AB1_TUBERCULOSIS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"71","finn-b-AB1_TUBERCU_OTH_ORG",217936,337,217599,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Tuberculosis of other organs","AB1_TUBERCU_OTH_ORG",NA,"finngen_R5_AB1_TUBERCU_OTH_ORG.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"72","finn-b-AB1_TULARAEMIA",218716,166,218550,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Tularaemia","AB1_TULARAEMIA",NA,"finngen_R5_AB1_TULARAEMIA.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"73","finn-b-AB1_VARICELLA",212566,710,211856,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Varicella [chickenpox]","AB1_VARICELLA",NA,"finngen_R5_AB1_VARICELLA.gz",16380433,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"74","finn-b-AB1_VIRAAL_CONJUNCT",213956,290,213666,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Viral conjunctivitis","AB1_VIRAAL_CONJUNCT",NA,"finngen_R5_AB1_VIRAAL_CONJUNCT.gz",16380457,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"75","finn-b-AB1_VIRAL_CNS",218792,1155,217637,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Viral infections of the central nervous system","AB1_VIRAL_CNS",NA,"finngen_R5_AB1_VIRAL_CNS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"76","finn-b-AB1_VIRAL_ENCEPHALITIS_NOS",217905,268,217637,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Viral encephalitis, not elsewhere classified/unspecified","AB1_VIRAL_ENCEPHALITIS_NOS",NA,"finngen_R5_AB1_VIRAL_ENCEPHALITIS_NOS.gz",16380460,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"77","finn-b-AB1_VIRAL_HEMOR_FEVER_NOS",218501,1159,217342,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Viral haemorrhagic fevers, not elsewhere classified/unspecified","AB1_VIRAL_HEMOR_FEVER_NOS",NA,"finngen_R5_AB1_VIRAL_HEMOR_FEVER_NOS.gz",16380465,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"78","finn-b-AB1_VIRAL_HEPATITIS",218792,1226,217566,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Viral hepatitis","AB1_VIRAL_HEPATITIS",NA,"finngen_R5_AB1_VIRAL_HEPATITIS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"79","finn-b-AB1_VIRAL_INOTHER",217633,268,217365,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Viral agents as the cause of diseases classified to other chapters","AB1_VIRAL_INOTHER",NA,"finngen_R5_AB1_VIRAL_INOTHER.gz",16380461,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"80","finn-b-AB1_VIRAL_MENINGITIS",218170,533,217637,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Viral meningitis","AB1_VIRAL_MENINGITIS",NA,"finngen_R5_AB1_VIRAL_MENINGITIS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"81","finn-b-AB1_VIRAL_NOS",216709,3043,213666,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other viral diseases, not elsewhere classified","AB1_VIRAL_NOS",NA,"finngen_R5_AB1_VIRAL_NOS.gz",16380462,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
